中国水利水电出版社	1.32%
机械工业	1.22%
北京大学出版社	1.19%
中国人民大学出版社	0.35%
电子工业出版社	0.12%
人民邮电出版社	0.11%
新疆新少年出版社	0.08%
内蒙古文化出版社	0.07%
西苑出版社	0.07%
机械工业出版社	0.06%
