新疆青少年出版社	451168.8
新世界出版社	481329.75
煤炭工业出版社	481545.7
北方文艺出版社	482725.0
上海译文出版社	484148.4
461.4	495000.0
南海出版公司	525664.7
北京联合出版公司	553824.3
民主与建设出版社	554165.5
中译出版社	590387.4
春风文艺出版社	605582.48
广东人民出版社	606091.3
汕头大学出版社	612238.2
人民文学出版社	616181.1
贵州大学出版社	619862.4
中国人口出版社	620180.0
南京出版社	664210.2
.	675448.0
北京时代华文书局	679167.2
上海科学普及出版社	696494.4
文化发展出版社	744844.1
北京十月文艺出版社	748849.2
湖南文艺出版社	783095.2
长江出版社	809561.8
长江文艺出版社	839524.64
江苏凤凰文艺出版社	846767.1
吉林美术出版社	875367.4
中国青年出版社	904529.8
浙江工商大学出版社	930832.8
天地出版社	966368.8
金盾出版社	989407.6
中信出版集团	1008000.0
广东旅游出版社	1049659.8
成都地图出版社	1053169.4
山东美术出版社	1077151.0
浙江少年儿童出版社	1103360.3
武汉出版社	1182614.3
北方妇女儿童出版社	1230888.6
安徽少年儿童出版社	1286947.0
郑州大学出版社	1415249.8
湖南文艺	1500000.0
青岛出版社	1517595.6
辽宁画报出版社	1528376.2
浙江教育出版社	1653167.8
作家出版社	2044114.0
海豚出版社	2371690.5
人民教育出版社	2386315.7
黑龙江美术出版社	2864509.45
台海出版社	2913999.2
延边大学出版社	2928069.6
江苏少年儿童出版社	3026315.4
中国华侨出版社	3364367.9
北京教育出版社	3696475.06
吉林文史出版社	3958169.42
四川少年儿童出版社	5620157.5
明天出版社	7160512.0
